Date,Category,Payment mode,Description,Amount,Cashback
2024-10-01,Food,Cash,Groceries for food,1145.81,0
2024-10-01,Entertainment,UPI,Movies for entertainment,220.25,0
2024-10-01,Healthcare,UPI,Doctor visits for healthcare,873.17,0
2024-10-01,Healthcare,Debit Card,Doctor visits for healthcare,1718.76,0
2024-10-01,Entertainment,Cash,Movies for entertainment,1594.84,0
2024-10-02,Subscriptions,UPI,Subscription services for subscriptions,411.36,0
2024-10-02,Entertainment,Debit Card,Movies for entertainment,1465.72,0
2024-10-02,Housing,UPI,Rent for housing,896.24,1
2024-10-03,Healthcare,UPI,Doctor visits for healthcare,1453.72,0
2024-10-03,Entertainment,UPI,Movies for entertainment,655.59,0
2024-10-04,Housing,Cash,Rent for housing,1140.74,0
2024-10-04,Food,Debit Card,Groceries for food,359.36,0
2024-10-04,Healthcare,Debit Card,Doctor visits for healthcare,551.3,0
2024-10-05,Food,Cash,Groceries for food,1759.02,0
2024-10-05,Housing,Cash,Rent for housing,1326.53,0
2024-10-05,Transportation,Cash,Fuel for transportation,1884.62,0
2024-10-05,Subscriptions,Cash,Subscription services for subscriptions,1546.59,0
2024-10-06,Food,UPI,Groceries for food,1687.8,0
2024-10-06,Transportation,Cash,Fuel for transportation,1058.14,0
2024-10-06,Healthcare,Debit Card,Doctor visits for healthcare,189.68,0
2024-10-08,Subscriptions,UPI,Subscription services for subscriptions,489.57,0
2024-10-08,Transportation,Cash,Fuel for transportation,1100.46,0
2024-10-08,Healthcare,Cash,Doctor visits for healthcare,276.34,0
2024-10-08,Healthcare,Cash,Doctor visits for healthcare,1424.92,0
2024-10-09,Entertainment,UPI,Movies for entertainment,918.76,0
2024-10-09,Transportation,UPI,Fuel for transportation,1702.14,5
2024-10-09,Healthcare,Cash,Doctor visits for healthcare,444.46,0
2024-10-09,Entertainment,Cash,Movies for entertainment,1134.07,0
2024-10-10,Healthcare,Debit Card,Doctor visits for healthcare,1419.54,0
2024-10-10,Transportation,UPI,Fuel for transportation,423.76,0
2024-10-10,Food,Cash,Groceries for food,1069.58,0
2024-10-10,Entertainment,Cash,Movies for entertainment,332.94,0
2024-10-11,Food,Debit Card,Groceries for food,1727.06,0
2024-10-11,Housing,Cash,Rent for housing,612.28,0
2024-10-12,Transportation,Cash,Fuel for transportation,198.38,0
2024-10-12,Transportation,UPI,Fuel for transportation,1210.12,0
2024-10-12,Food,Cash,Groceries for food,1728.27,0
2024-10-13,Entertainment,Cash,Movies for entertainment,1366.61,0
2024-10-13,Housing,UPI,Rent for housing,149.98,0
2024-10-13,Healthcare,Debit Card,Doctor visits for healthcare,623.59,0
2024-10-13,Entertainment,UPI,Movies for entertainment,1360.93,0
2024-10-13,Healthcare,UPI,Doctor visits for healthcare,1213.99,0
2024-10-14,Transportation,UPI,Fuel for transportation,1053.19,0
2024-10-14,Food,Debit Card,Groceries for food,133.62,0
2024-10-14,Healthcare,Debit Card,Doctor visits for healthcare,1645.27,0
2024-10-15,Housing,UPI,Rent for housing,557.91,3
2024-10-15,Housing,UPI,Rent for housing,510.07,0
2024-10-15,Transportation,UPI,Fuel for transportation,1175.95,0
2024-10-15,Healthcare,Cash,Doctor visits for healthcare,440.4,0
2024-10-15,Healthcare,Debit Card,Doctor visits for healthcare,1265.73,0
2024-10-16,Food,UPI,Doctor visits for healthcare,1057.87,10
2024-10-16,Transportation,UPI,Groceries for food,499.68,0
2024-10-17,Entertainment,Debit Card,Fuel for transportation,1001.41,0
2024-10-17,Food,Cash,Movies for entertainment,1552.59,0
2024-10-17,Housing,UPI,Groceries for food,1128.63,0
2024-10-17,Healthcare,UPI,Rent for housing,1188.27,0
2024-10-18,Transportation,UPI,Doctor visits for healthcare,624.65,0
2024-10-18,Food,Cash,Fuel for transportation,369.53,0
2024-10-18,Housing,Cash,Groceries for food,1315.67,0
2024-10-19,Food,UPI,Rent for housing,890.32,0
2024-10-19,Transportation,UPI,Groceries for food,1126.59,0
